,Movie_Title,Distributor,Domestic_Total_Gross,Budget,Runtime(mins),Rating,Release_Date,Genre
96,Black Panther,Walt Disney Studios Motion Pictures,700059566,,134,PG-13,2018-02-16,"Action, Adventure, Sci-Fi"
97,Black Panther,Walt Disney Studios Motion Pictures,700059566,,134,PG-13,2018-02-16,"Action, Adventure, Sci-Fi"
98,Fifty Shades Freed,Universal Pictures,100407760,55000000,105,R,2018-02-09,"Drama, Romance, Thriller"
99,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480,90000000,119,PG-13,2017-12-20,"Action, Adventure, Comedy, Fantasy"
100,Maze Runner: The Death Cure,Twentieth Century Fox,58032443,62000000,143,PG-13,2018-01-26,"Action, Adventure, Sci-Fi, Thriller"
101,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480,90000000,119,PG-13,2017-12-20,"Action, Adventure, Comedy, Fantasy"
102,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480,90000000,119,PG-13,2017-12-20,"Action, Adventure, Comedy, Fantasy"
103,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480,90000000,119,PG-13,2017-12-20,"Action, Adventure, Comedy, Fantasy"
104,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,404515480,90000000,119,PG-13,2017-12-20,"Action, Adventure, Comedy, Fantasy"
105,Star Wars: Episode VIII,Walt Disney Studios Motion Pictures,620181382,317000000,152,PG-13,2017-12-15,"Action, Adventure, Fantasy, Sci-Fi"
106,Star Wars: Episode VIII,Walt Disney Studios Motion Pictures,620181382,317000000,152,PG-13,2017-12-15,"Action, Adventure, Fantasy, Sci-Fi"
107,Coco,Walt Disney Studios Motion Pictures,209726015,,105,PG,2017-11-22,"Adventure, Animation, Family, Fantasy, Music, Mystery"
108,Coco,Walt Disney Studios Motion Pictures,209726015,,105,PG,2017-11-22,"Adventure, Animation, Family, Fantasy, Music, Mystery"
109,Coco,Walt Disney Studios Motion Pictures,209726015,,105,PG,2017-11-22,"Adventure, Animation, Family, Fantasy, Music, Mystery"
110,Justice League,Warner Bros.,229024295,,,PG-13,2017-11-17,"Action, Adventure, Fantasy, Sci-Fi"
111,Thor: Ragnarok,Walt Disney Studios Motion Pictures,315058289,180000000,130,PG-13,2017-11-03,"Action, Adventure, Comedy, Fantasy, Sci-Fi"
112,Thor: Ragnarok,Walt Disney Studios Motion Pictures,315058289,180000000,130,PG-13,2017-11-03,"Action, Adventure, Comedy, Fantasy, Sci-Fi"
113,Jigsaw,Lionsgate,38052832,10000000,92,R,2017-10-27,"Horror, Mystery, Thriller"
114,Boo 2! A Madea Halloween,Lionsgate,47319572,25000000,101,PG-13,2017-10-20,"Comedy, Drama, Horror"
115,Happy Death Day,Universal Pictures,55683845,4800000,96,PG-13,2017-10-13,"Horror, Mystery, Thriller"
116,Blade Runner 2049,Warner Bros.,92054159,150000000,164,R,2017-10-06,"Action, Drama, Mystery, Sci-Fi, Thriller"
