,Movie_Title,Distributor,Domestic_Total_Gross,Budget,Runtime(mins),Rating,Release_Date,Genre
219,Maze Runner: The Scorch Trials,Twentieth Century Fox,81697192,61000000,131,PG-13,2015-09-18,"Action, Adventure, Sci-Fi, Thriller"
220,The Perfect Guy,Screen Gems,57027435,12000000,100,PG-13,2015-09-11,"Crime, Drama, Horror, Mystery, Romance, Thriller"
221,War Room,TriStar Pictures,67790117,3000000,,PG,2015-08-28,Drama
222,Straight Outta Compton,Universal Pictures,161197785,28000000,147,R,2015-08-14,"Biography, Drama, History, Music"
223,Straight Outta Compton,Universal Pictures,161197785,28000000,147,R,2015-08-14,"Biography, Drama, History, Music"
224,Straight Outta Compton,Universal Pictures,161197785,28000000,147,R,2015-08-14,"Biography, Drama, History, Music"
225,Mission: Impossible,Paramount Pictures,195042377,150000000,131,PG-13,2015-07-31,"Action, Adventure, Thriller"
226,Mission: Impossible,Paramount Pictures,195042377,150000000,131,PG-13,2015-07-31,"Action, Adventure, Thriller"
227,Ant,Walt Disney Studios Motion Pictures,180202163,130000000,117,PG-13,2015-07-17,"Action, Adventure, Comedy, Sci-Fi"
228,Ant,Walt Disney Studios Motion Pictures,180202163,130000000,117,PG-13,2015-07-17,"Action, Adventure, Comedy, Sci-Fi"
229,Minions,Universal Pictures,336045770,74000000,91,PG,2015-07-10,"Adventure, Animation, Comedy, Family, Sci-Fi"
230,Inside Out,Walt Disney Studios Motion Pictures,356461711,175000000,95,PG,2015-06-19,"Adventure, Animation, Comedy, Drama, Family, Fantasy"
231,Inside Out,Walt Disney Studios Motion Pictures,356461711,175000000,95,PG,2015-06-19,"Adventure, Animation, Comedy, Drama, Family, Fantasy"
232,Jurassic World,Universal Pictures,652270625,150000000,124,PG-13,2015-06-12,"Action, Adventure, Sci-Fi"
233,Jurassic World,Universal Pictures,652270625,150000000,124,PG-13,2015-06-12,"Action, Adventure, Sci-Fi"
234,Spy,Twentieth Century Fox,110825712,65000000,,R,2015-06-05,"Action, Comedy, Crime"
235,San Andreas,Warner Bros.,155190832,110000000,114,PG-13,2015-05-29,"Action, Adventure, Drama, Thriller"
236,Tomorrowland,Walt Disney Studios Motion Pictures,93436322,190000000,130,PG,2015-05-22,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi"
237,Pitch Perfect 2,Universal Pictures,184296230,29000000,115,PG-13,2015-05-15,"Comedy, Music"
238,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,459005868,250000000,141,PG-13,2015-05-01,"Action, Adventure, Sci-Fi"
239,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,459005868,250000000,141,PG-13,2015-05-01,"Action, Adventure, Sci-Fi"
240,Furious 7,Universal Pictures,353007020,190000000,137,PG-13,2015-04-03,"Action, Adventure, Thriller"
241,Furious 7,Universal Pictures,353007020,190000000,137,PG-13,2015-04-03,"Action, Adventure, Thriller"
242,Furious 7,Universal Pictures,353007020,190000000,137,PG-13,2015-04-03,"Action, Adventure, Thriller"
243,Furious 7,Universal Pictures,353007020,190000000,137,PG-13,2015-04-03,"Action, Adventure, Thriller"
244,Home,Twentieth Century Fox,177397510,135000000,94,PG,2015-03-27,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
245,Insurgent,Lionsgate,130179072,110000000,119,PG-13,2015-03-20,"Action, Adventure, Sci-Fi, Thriller"
246,Cinderella,Walt Disney Studios Motion Pictures,201151353,95000000,105,PG,2015-03-13,"Drama, Family, Fantasy, Romance"
247,Chappie,Sony Pictures Releasing,31569268,49000000,,R,2015-03-06,"Action, Crime, Drama, Sci-Fi, Thriller"
248,Focus,Warner Bros.,53862963,50100000,105,R,2015-02-27,"Comedy, Crime, Drama, Romance"
249,Fifty Shades of Grey,Universal Pictures,166167230,40000000,125,R,2015-02-13,"Drama, Romance, Thriller"
250,Fifty Shades of Grey,Universal Pictures,166167230,40000000,125,R,2015-02-13,"Drama, Romance, Thriller"
251,The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,162994032,74000000,92,PG,2015-02-06,"Adventure, Animation, Comedy, Family, Fantasy"
252,Taken 3,Twentieth Century Fox,89256424,48000000,108,PG-13,2015-01-09,"Action, Thriller"
253,The Hobbit: The Battle of the Five Armies,Warner Bros.,255119788,,144,PG-13,2014-12-17,"Adventure, Fantasy"
254,The Hobbit: The Battle of the Five Armies,Warner Bros.,255119788,,144,PG-13,2014-12-17,"Adventure, Fantasy"
255,The Hobbit: The Battle of the Five Armies,Warner Bros.,255119788,,144,PG-13,2014-12-17,"Adventure, Fantasy"
256,The Hobbit: The Battle of the Five Armies,Warner Bros.,255119788,,144,PG-13,2014-12-17,"Adventure, Fantasy"
257,The Hunger Games: Mockingjay,Lionsgate,337135885,125000000,123,PG-13,2014-11-21,"Action, Adventure, Sci-Fi, Thriller"
258,The Hunger Games: Mockingjay,Lionsgate,337135885,125000000,123,PG-13,2014-11-21,"Action, Adventure, Sci-Fi, Thriller"
259,The Hunger Games: Mockingjay,Lionsgate,337135885,125000000,123,PG-13,2014-11-21,"Action, Adventure, Sci-Fi, Thriller"
260,Dumb and Dumber To,Universal Pictures,86208010,40000000,109,PG-13,2014-11-14,Comedy
261,Big Hero 6,Walt Disney Studios Motion Pictures,222527828,165000000,102,PG,2014-11-07,"Action, Adventure, Animation, Family, Sci-Fi"
262,Nightcrawler,Open Road Films (II),32381217,8500000,117,R,2014-10-31,"Crime, Drama, Thriller"
263,Ouija,Universal Pictures,50856010,5000000,89,PG-13,2014-10-24,"Horror, Mystery, Thriller"
264,Fury,Sony Pictures Releasing,85817906,68000000,134,R,2014-10-17,"Action, Drama, War"
265,Gone Girl,Twentieth Century Fox,167767189,61000000,149,R,2014-10-03,"Drama, Mystery, Thriller"
266,Gone Girl,Twentieth Century Fox,167767189,61000000,149,R,2014-10-03,"Drama, Mystery, Thriller"
267,The Equalizer,Sony Pictures Releasing,101530738,55000000,132,R,2014-09-26,"Action, Crime, Thriller"
268,The Maze Runner,Twentieth Century Fox,102427862,34000000,113,PG-13,2014-09-19,"Action, Mystery, Sci-Fi, Thriller"
269,No Good Deed,Screen Gems,52543632,13200000,84,PG-13,2014-09-12,"Action, Crime, Drama, Horror, Thriller"
270,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,333176600,170000000,121,PG-13,2014-08-01,"Action, Adventure, Comedy, Sci-Fi"
271,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,333176600,170000000,121,PG-13,2014-08-01,"Action, Adventure, Comedy, Sci-Fi"
272,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,333176600,170000000,121,PG-13,2014-08-01,"Action, Adventure, Comedy, Sci-Fi"
273,Teenage Mutant Ninja Turtles,Paramount Pictures,191204754,125000000,101,PG-13,2014-08-08,"Action, Adventure, Comedy, Sci-Fi"
274,Teenage Mutant Ninja Turtles,Paramount Pictures,191204754,125000000,101,PG-13,2014-08-08,"Action, Adventure, Comedy, Sci-Fi"
275,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,333176600,170000000,121,PG-13,2014-08-01,"Action, Adventure, Comedy, Sci-Fi"
276,Lucy,Universal Pictures,126663600,40000000,89,R,2014-07-25,"Action, Sci-Fi, Thriller"
277,Dawn of the Planet of the Apes,Twentieth Century Fox,208545589,170000000,130,PG-13,2014-07-11,"Action, Adventure, Drama, Sci-Fi"
278,Dawn of the Planet of the Apes,Twentieth Century Fox,208545589,170000000,130,PG-13,2014-07-11,"Action, Adventure, Drama, Sci-Fi"
279,Transformers: Age of Extinction,Paramount Pictures,245439076,210000000,165,PG-13,2014-06-27,"Action, Adventure, Sci-Fi"
280,Transformers: Age of Extinction,Paramount Pictures,245439076,210000000,165,PG-13,2014-06-27,"Action, Adventure, Sci-Fi"
281,22 Jump Street,Sony Pictures Releasing,191719337,50000000,112,R,2014-06-13,"Action, Comedy, Crime"
282,22 Jump Street,Sony Pictures Releasing,191719337,50000000,112,R,2014-06-13,"Action, Comedy, Crime"
283,The Fault in Our Stars,Twentieth Century Fox,124872350,12000000,126,PG-13,2014-06-06,"Drama, Romance"
284,Maleficent,Walt Disney Studios Motion Pictures,241410378,180000000,97,PG,2014-05-30,"Action, Adventure, Family, Fantasy, Romance"
285,X,Twentieth Century Fox,233921534,200000000,132,PG-13,2014-05-23,"Action, Adventure, Sci-Fi, Thriller"
286,Godzilla,Warner Bros.,200676069,160000000,123,PG-13,2014-05-16,"Action, Adventure, Sci-Fi, Thriller"
287,Neighbors,Universal Pictures,150157400,18000000,97,R,2014-05-09,Comedy
288,The Amazing Spider,Sony Pictures Releasing,202853933,,142,PG-13,2014-05-02,"Action, Adventure, Sci-Fi"
289,The Other Woman,Twentieth Century Fox,83911193,40000000,109,PG-13,2014-04-25,"Comedy, Romance"
290,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,259766572,170000000,136,PG-13,2014-04-04,"Action, Adventure, Sci-Fi"
291,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,259766572,170000000,136,PG-13,2014-04-04,"Action, Adventure, Sci-Fi"
292,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,259766572,170000000,136,PG-13,2014-04-04,"Action, Adventure, Sci-Fi"
293,Noah,Paramount Pictures,101200044,125000000,138,PG-13,2014-03-28,"Action, Adventure, Drama, Romance, Thriller"
294,Divergent,Lionsgate,150947895,85000000,139,PG-13,2014-03-21,"Action, Adventure, Mystery, Sci-Fi"
295,Mr. Peabody & Sherman,Twentieth Century Fox,111506430,145000000,92,PG,2014-03-07,"Adventure, Animation, Comedy, Family, Sci-Fi"
296,300: Rise of an Empire,Warner Bros.,106580051,110000000,102,R,2014-03-07,"Action, Drama"
297,Non,Universal Pictures,92168600,50000000,106,PG-13,2014-02-28,"Action, Mystery, Thriller"
298,The Lego Movie,Warner Bros.,257760692,60000000,100,PG,2014-02-07,"Action, Adventure, Animation, Comedy, Family, Fantasy"
299,The Lego Movie,Warner Bros.,257760692,60000000,100,PG,2014-02-07,"Action, Adventure, Animation, Comedy, Family, Fantasy"
300,The Lego Movie,Warner Bros.,257760692,60000000,100,PG,2014-02-07,"Action, Adventure, Animation, Comedy, Family, Fantasy"
301,Ride Along,Universal Pictures,134938200,25000000,99,PG-13,2014-01-17,"Action, Comedy, Crime"
302,Ride Along,Universal Pictures,134938200,25000000,99,PG-13,2014-01-17,"Action, Comedy, Crime"
303,Ride Along,Universal Pictures,134938200,25000000,99,PG-13,2014-01-17,"Action, Comedy, Crime"
304,The Hobbit: The Desolation of Smaug,Warner Bros.,258366855,,161,PG-13,2013-12-13,"Adventure, Fantasy"
305,The Hobbit: The Desolation of Smaug,Warner Bros.,258366855,,161,PG-13,2013-12-13,"Adventure, Fantasy"
306,The Hunger Games: Catching Fire,Lionsgate,424668047,130000000,146,PG-13,2013-11-22,"Action, Adventure, Sci-Fi, Thriller"
307,The Hunger Games: Catching Fire,Lionsgate,424668047,130000000,146,PG-13,2013-11-22,"Action, Adventure, Sci-Fi, Thriller"
308,Thor: The Dark World,Walt Disney Studios Motion Pictures,206362140,170000000,112,PG-13,2013-11-08,"Action, Adventure, Fantasy"
309,Thor: The Dark World,Walt Disney Studios Motion Pictures,206362140,170000000,112,PG-13,2013-11-08,"Action, Adventure, Fantasy"
310,Ender's Game,Lionsgate,61737191,110000000,114,PG-13,2013-11-01,"Action, Adventure, Fantasy, Sci-Fi"
311,Bad Grandpa,Paramount Pictures,102003019,15000000,92,R,2013-10-25,Comedy
312,Gravity,Warner Bros.,274092705,100000000,91,PG-13,2013-10-04,"Drama, Sci-Fi, Thriller"
313,Gravity,Warner Bros.,274092705,100000000,91,PG-13,2013-10-04,"Drama, Sci-Fi, Thriller"
314,Gravity,Warner Bros.,274092705,100000000,91,PG-13,2013-10-04,"Drama, Sci-Fi, Thriller"
315,Cloudy with a Chance of Meatballs 2,Sony Pictures Releasing,119793567,78000000,95,PG,2013-09-27,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
316,Prisoners,Warner Bros.,61002302,46000000,153,R,2013-09-20,"Crime, Drama, Mystery, Thriller"
317,Insidious: Chapter 2,FilmDistrict,83586447,5000000,106,PG-13,2013-09-13,"Horror, Mystery, Thriller"
318,Riddick,Universal Pictures,42025135,38000000,119,R,2013-09-06,"Action, Adventure, Sci-Fi, Thriller"
319,Lee Daniels' The Butler,The Weinstein Company,116632095,30000000,132,PG-13,2013-08-16,"Biography, Drama"
320,Lee Daniels' The Butler,The Weinstein Company,116632095,30000000,132,PG-13,2013-08-16,"Biography, Drama"
321,Lee Daniels' The Butler,The Weinstein Company,116632095,30000000,132,PG-13,2013-08-16,"Biography, Drama"
322,Elysium,TriStar Pictures,93050117,115000000,109,R,2013-08-09,"Action, Drama, Sci-Fi"
323,2 Guns,Universal Pictures,75612460,61000000,109,R,2013-08-02,"Action, Comedy, Thriller"
324,The Wolverine,Twentieth Century Fox,132556852,120000000,126,PG-13,2013-07-26,"Action, Adventure, Sci-Fi"
325,The Conjuring,Warner Bros.,137400141,20000000,112,R,2013-07-19,"Horror, Mystery, Thriller"
326,Despicable Me 2,Universal Pictures,368065385,76000000,98,PG,2013-07-03,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
327,Despicable Me 2,Universal Pictures,368065385,76000000,98,PG,2013-07-03,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
328,Monsters University,Walt Disney Studios Motion Pictures,268492764,,104,G,2013-06-21,"Adventure, Animation, Comedy, Family, Fantasy"
329,Monsters University,Walt Disney Studios Motion Pictures,268492764,,104,G,2013-06-21,"Adventure, Animation, Comedy, Family, Fantasy"
330,Man of Steel,Warner Bros.,291045518,225000000,143,PG-13,2013-06-14,"Action, Adventure, Sci-Fi"
331,The Purge,Universal Pictures,64473115,3000000,85,R,2013-06-07,"Horror, Thriller"
332,Fast & Furious 6,Universal Pictures,238679850,160000000,130,PG-13,2013-05-24,"Action, Adventure, Thriller"
333,Fast & Furious 6,Universal Pictures,238679850,160000000,130,PG-13,2013-05-24,"Action, Adventure, Thriller"
334,Star Trek Into Darkness,Paramount Pictures,228778661,190000000,132,PG-13,2013-05-16,"Action, Adventure, Sci-Fi"
335,Iron Man 3,Walt Disney Studios Motion Pictures,409013994,200000000,130,PG-13,2013-05-03,"Action, Adventure, Sci-Fi"
336,Iron Man 3,Walt Disney Studios Motion Pictures,409013994,200000000,130,PG-13,2013-05-03,"Action, Adventure, Sci-Fi"
337,Pain & Gain,Paramount Pictures,49875291,26000000,129,R,2013-04-26,"Action, Comedy, Crime, Drama"
338,Oblivion,Universal Pictures,89107235,120000000,124,PG-13,2013-04-19,"Action, Adventure, Sci-Fi"
339,42,Warner Bros.,95020213,40000000,128,PG-13,2013-04-12,"Biography, Drama, Sport"
340,Evil Dead,TriStar Pictures,54239856,17000000,91,R,2013-04-05,"Fantasy, Horror, Thriller"
341,G.I. Joe: Retaliation,Paramount Pictures,122523060,130000000,110,PG-13,2013-03-28,"Action, Adventure, Sci-Fi, Thriller"
342,The Croods,Twentieth Century Fox,187168425,135000000,98,PG,2013-03-22,"Action, Adventure, Animation, Comedy, Family, Fantasy"
343,Oz the Great and Powerful,Walt Disney Studios Motion Pictures,234911825,215000000,130,PG,2013-03-08,"Adventure, Family, Fantasy"
344,Oz the Great and Powerful,Walt Disney Studios Motion Pictures,234911825,215000000,130,PG,2013-03-08,"Adventure, Family, Fantasy"
345,Jack the Giant Slayer,Warner Bros.,65187603,195000000,114,PG-13,2013-03-01,"Adventure, Fantasy"
346,Identity Thief,Universal Pictures,134506920,35000000,111,R,2013-02-08,"Comedy, Crime, Drama"
347,A Good Day to Die Hard,Twentieth Century Fox,67349198,92000000,98,R,2013-02-14,"Action, Thriller"
348,Identity Thief,Universal Pictures,134506920,35000000,111,R,2013-02-08,"Comedy, Crime, Drama"
349,Warm Bodies,Lionsgate,66380662,35000000,98,PG-13,2013-02-01,"Comedy, Horror, Romance"
350,Hansel & Gretel: Witch Hunters,Paramount Pictures,55703475,50000000,88,R,2013-01-25,"Action, Fantasy, Horror"
351,Mama,Universal Pictures,71628180,15000000,100,PG-13,2013-01-18,"Horror, Thriller"
352,Django Unchained,The Weinstein Company,162805434,100000000,165,R,2012-12-25,"Drama, Western"
353,The Hobbit: An Unexpected Journey,Warner Bros.,303003568,,169,PG-13,2012-12-14,"Adventure, Family, Fantasy"
354,The Hobbit: An Unexpected Journey,Warner Bros.,303003568,,169,PG-13,2012-12-14,"Adventure, Family, Fantasy"
355,The Hobbit: An Unexpected Journey,Warner Bros.,303003568,,169,PG-13,2012-12-14,"Adventure, Family, Fantasy"
356,Skyfall,Sony Pictures Releasing,304360277,200000000,143,PG-13,2012-11-09,"Action, Adventure, Thriller"
357,The Twilight Saga: Breaking Dawn,Lionsgate,292324737,120000000,115,PG-13,2012-11-16,"Adventure, Drama, Fantasy, Romance"
358,The Twilight Saga: Breaking Dawn,Lionsgate,292324737,120000000,115,PG-13,2012-11-16,"Adventure, Drama, Fantasy, Romance"
359,The Twilight Saga: Breaking Dawn,Lionsgate,292324737,120000000,115,PG-13,2012-11-16,"Adventure, Drama, Fantasy, Romance"
360,Skyfall,Sony Pictures Releasing,304360277,200000000,143,PG-13,2012-11-09,"Action, Adventure, Thriller"
361,Wreck,Walt Disney Studios Motion Pictures,189422889,165000000,101,PG,2012-11-02,"Adventure, Animation, Comedy, Family, Fantasy"
362,Argo,Warner Bros.,136025503,44500000,,R,2012-10-12,"Biography, Drama, Thriller"
363,Paranormal Activity 4,Paramount Pictures,53885000,5000000,88,R,2012-10-19,"Horror, Mystery, Thriller"
364,Taken 2,Twentieth Century Fox,139854287,45000000,92,PG-13,2012-10-05,"Action, Thriller"
365,Taken 2,Twentieth Century Fox,139854287,45000000,92,PG-13,2012-10-05,"Action, Thriller"
366,Hotel Transylvania,Sony Pictures Releasing,148313048,85000000,91,PG,2012-09-28,"Animation, Comedy, Family, Fantasy, Horror"
367,End of Watch,Open Road Films (II),41003371,7000000,109,R,2012-09-21,"Action, Crime, Drama, Thriller"
368,Resident Evil: Retribution,Screen Gems,42345531,65000000,95,R,2012-09-14,"Action, Horror, Sci-Fi, Thriller"
369,The Possession,Lionsgate,49130154,14000000,92,PG-13,2012-08-31,"Horror, Mystery, Thriller"
370,The Possession,Lionsgate,49130154,14000000,92,PG-13,2012-08-31,"Horror, Mystery, Thriller"
371,The Expendables 2,Lionsgate,85028192,100000000,103,R,2012-08-17,"Action, Adventure, Thriller"
372,The Expendables 2,Lionsgate,85028192,100000000,103,R,2012-08-17,"Action, Adventure, Thriller"
373,The Bourne Legacy,Universal Pictures,113203870,125000000,135,PG-13,2012-08-10,"Action, Adventure, Thriller"
374,The Dark Knight Rises,Warner Bros.,448139099,250000000,164,PG-13,2012-07-20,"Action, Thriller"
375,The Dark Knight Rises,Warner Bros.,448139099,250000000,164,PG-13,2012-07-20,"Action, Thriller"
376,The Dark Knight Rises,Warner Bros.,448139099,250000000,164,PG-13,2012-07-20,"Action, Thriller"
377,Ice Age: Continental Drift,Twentieth Century Fox,161321843,95000000,88,PG,2012-07-13,"Adventure, Animation, Comedy, Drama, Family, Fantasy"
378,The Amazing Spider,Sony Pictures Releasing,262030663,230000000,136,PG-13,2012-07-03,"Action, Sci-Fi"
379,Ted,Universal Pictures,218815487,50000000,106,R,2012-06-29,Comedy
380,Brave,Walt Disney Studios Motion Pictures,237283207,185000000,93,PG,2012-06-22,"Adventure, Animation, Comedy, Family, Fantasy"
381,Madagascar 3: Europe's Most Wanted,DreamWorks,216391482,145000000,93,PG,2012-06-08,"Adventure, Animation, Comedy, Family"
382,Madagascar 3: Europe's Most Wanted,DreamWorks,216391482,145000000,93,PG,2012-06-08,"Adventure, Animation, Comedy, Family"
383,Snow White and the Huntsman,Universal Pictures,155332381,170000000,127,PG-13,2012-06-01,"Action, Adventure, Drama, Fantasy"
384,Men in Black 3,Sony Pictures Releasing,179020854,225000000,106,PG-13,2012-05-25,"Action, Adventure, Comedy, Sci-Fi"
385,The Avengers,Walt Disney Studios Motion Pictures,623357910,220000000,143,PG-13,2012-05-04,"Action, Adventure, Sci-Fi"
386,The Avengers,Walt Disney Studios Motion Pictures,623357910,220000000,143,PG-13,2012-05-04,"Action, Adventure, Sci-Fi"
387,The Avengers,Walt Disney Studios Motion Pictures,623357910,220000000,143,PG-13,2012-05-04,"Action, Adventure, Sci-Fi"
388,Think Like a Man,Screen Gems,91547205,12000000,122,PG-13,2012-04-20,"Comedy, Romance"
389,Think Like a Man,Screen Gems,91547205,12000000,122,PG-13,2012-04-20,"Comedy, Romance"
390,The Hunger Games,Lionsgate,408010692,78000000,142,PG-13,2012-03-23,"Action, Adventure, Sci-Fi, Thriller"
391,The Hunger Games,Lionsgate,408010692,78000000,142,PG-13,2012-03-23,"Action, Adventure, Sci-Fi, Thriller"
392,The Hunger Games,Lionsgate,408010692,78000000,142,PG-13,2012-03-23,"Action, Adventure, Sci-Fi, Thriller"
393,The Hunger Games,Lionsgate,408010692,78000000,142,PG-13,2012-03-23,"Action, Adventure, Sci-Fi, Thriller"
394,21 Jump Street,Sony Pictures Releasing,138447667,42000000,109,R,2012-03-16,"Action, Comedy, Crime"
395,The Lorax,Universal Pictures,214030500,70000000,86,PG,2012-03-02,"Adventure, Animation, Drama, Family, Fantasy, Musical"
396,The Lorax,Universal Pictures,214030500,70000000,86,PG,2012-03-02,"Adventure, Animation, Drama, Family, Fantasy, Musical"
397,Act of Valor,Relativity Media,70012847,12000000,110,R,2012-02-24,"Action, Adventure, Drama, Thriller, War"
398,Safe House,Universal Pictures,126373434,85000000,115,R,2012-02-10,"Action, Thriller"
399,The Vow,Screen Gems,125014030,30000000,104,PG-13,2012-02-10,"Drama, Romance"
400,Chronicle,Twentieth Century Fox,64575175,12000000,84,PG-13,2012-02-03,"Drama, Sci-Fi, Thriller"
401,The Grey,Open Road Films (II),51580236,25000000,117,R,2012-01-27,"Action, Adventure, Drama, Thriller"
402,Underworld Awakening,Screen Gems,62321039,70000000,88,R,2012-01-20,"Action, Drama, Fantasy, Horror, Sci-Fi"
403,Contraband,Universal Pictures,66528000,25000000,109,R,2012-01-13,"Action, Crime, Drama, Thriller"
404,The Devil Inside,Paramount Pictures,53261944,1000000,83,R,2012-01-06,Horror
405,Sherlock Holmes: A Game of Shadows,Warner Bros.,186848418,,129,PG-13,2011-12-16,"Action, Adventure, Crime, Mystery, Thriller"
406,New Year's Eve,Warner Bros.,54544638,56000000,118,PG-13,2011-12-09,"Comedy, Romance"
407,The Twilight Saga: Breaking Dawn,Summit Entertainment,281287133,110000000,117,PG-13,2011-11-18,"Action, Adventure, Drama, Fantasy, Romance, Thriller"
408,The Twilight Saga: Breaking Dawn,Summit Entertainment,281287133,110000000,117,PG-13,2011-11-18,"Action, Adventure, Drama, Fantasy, Romance, Thriller"
409,The Twilight Saga: Breaking Dawn,Summit Entertainment,281287133,110000000,117,PG-13,2011-11-18,"Action, Adventure, Drama, Fantasy, Romance, Thriller"
410,Immortals,Relativity Media,83504017,75000000,110,R,2011-11-11,"Action, Drama, Fantasy, Romance"
411,Puss in Boots,DreamWorks,149260504,130000000,90,PG,2011-10-28,"Adventure, Animation, Comedy, Family, Fantasy"
412,Puss in Boots,DreamWorks,149260504,130000000,90,PG,2011-10-28,"Adventure, Animation, Comedy, Family, Fantasy"
413,Paranormal Activity 3,Paramount Pictures,104028807,5000000,83,R,2011-10-21,"Horror, Mystery, Thriller"
414,Real Steel,Walt Disney Studios Motion Pictures,85468508,,127,PG-13,2011-10-07,"Action, Drama, Family, Sci-Fi, Sport"
415,Real Steel,Walt Disney Studios Motion Pictures,85468508,,127,PG-13,2011-10-07,"Action, Drama, Family, Sci-Fi, Sport"
416,Dolphin Tale,Warner Bros.,72286779,37000000,113,PG,2011-09-23,"Drama, Family"
417,The Lion King 2011 3D Release,Walt Disney Studios Motion Pictures,94242001,45000000,88,G,2011-09-16,"Adventure, Animation, Drama, Family, Musical"
418,The Lion King 2011 3D Release,Walt Disney Studios Motion Pictures,94242001,45000000,88,G,2011-09-16,"Adventure, Animation, Drama, Family, Musical"
419,Contagion,Warner Bros.,75658097,60000000,106,PG-13,2011-09-09,"Action, Drama, Sci-Fi, Thriller"
420,The Help,Walt Disney Studios Motion Pictures,169708112,25000000,146,PG-13,2011-08-10,Drama
421,The Help,Walt Disney Studios Motion Pictures,169708112,25000000,146,PG-13,2011-08-10,Drama
422,The Help,Walt Disney Studios Motion Pictures,169708112,25000000,146,PG-13,2011-08-10,Drama
423,The Help,Walt Disney Studios Motion Pictures,169708112,25000000,146,PG-13,2011-08-10,Drama
424,Rise of the Planet of the Apes,Twentieth Century Fox,176760185,93000000,105,PG-13,2011-08-05,"Action, Drama, Sci-Fi, Thriller"
425,The Smurfs,Sony Pictures Releasing,142614158,110000000,103,PG,2011-07-29,"Adventure, Comedy, Family, Fantasy"
426,Captain America: The First Avenger,Paramount Pictures,176654505,140000000,124,PG-13,2011-07-22,"Action, Adventure, Sci-Fi"
427,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,381011219,,130,PG-13,2011-07-15,"Adventure, Drama, Fantasy, Mystery"
428,Transformers: Dark of the Moon,DreamWorks,352390543,195000000,154,PG-13,2011-06-29,"Action, Adventure, Sci-Fi"
429,Transformers: Dark of the Moon,DreamWorks,352390543,195000000,154,PG-13,2011-06-29,"Action, Adventure, Sci-Fi"
430,Cars 2,Walt Disney Studios Motion Pictures,191452396,200000000,106,G,2011-06-24,"Adventure, Animation, Comedy, Family, Sport"
431,Green Lantern,Warner Bros.,116601172,200000000,114,PG-13,2011-06-17,"Action, Adventure, Sci-Fi"
432,Super 8,Paramount Pictures,127004179,50000000,112,PG-13,2011-06-10,"Action, Mystery, Sci-Fi, Thriller"
433,X,Twentieth Century Fox,146408305,160000000,131,PG-13,2011-06-03,"Action, Adventure, Sci-Fi"
434,The Hangover Part II,Warner Bros.,254464305,80000000,102,R,2011-05-26,Comedy
435,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,241071802,250000000,136,PG-13,2011-05-20,"Action, Adventure, Fantasy"
436,Thor,Paramount Pictures,181030624,150000000,115,PG-13,2011-05-06,"Action, Adventure, Fantasy"
437,Thor,Paramount Pictures,181030624,150000000,115,PG-13,2011-05-06,"Action, Adventure, Fantasy"
438,Fast Five,Universal Pictures,209837675,125000000,130,PG-13,2011-04-29,"Action, Adventure, Thriller"
439,Rio,Twentieth Century Fox,143619809,90000000,96,PG,2011-04-15,"Adventure, Animation, Comedy, Crime, Family, Musical"
440,Rio,Twentieth Century Fox,143619809,90000000,96,PG,2011-04-15,"Adventure, Animation, Comedy, Crime, Family, Musical"
441,Hop,Universal Pictures,108085305,63000000,95,PG,2011-04-01,"Adventure, Animation, Comedy, Family, Fantasy"
442,Hop,Universal Pictures,108085305,63000000,95,PG,2011-04-01,"Adventure, Animation, Comedy, Family, Fantasy"
443,Diary of a Wimpy Kid: Rodrick Rules,Twentieth Century Fox,52698535,21000000,99,PG,2011-03-25,"Comedy, Family"
444,Limitless,Relativity Media,79249455,27000000,105,PG-13,2011-03-18,"Sci-Fi, Thriller"
445,Battle Los Angeles,Sony Pictures Releasing,83552429,70000000,116,PG-13,2011-03-11,"Action, Sci-Fi"
446,Rango,Paramount Pictures,123477607,135000000,107,PG,2011-03-04,"Adventure, Animation, Comedy, Family, Western"
447,Hall Pass,Warner Bros.,45060734,36000000,105,R,2011-02-25,"Comedy, Romance"
448,Unknown,Warner Bros.,63686397,30000000,113,PG-13,2011-02-18,"Action, Mystery, Thriller"
449,Just Go with It,Sony Pictures Releasing,103028109,80000000,117,PG-13,2011-02-11,"Comedy, Romance"
450,The Roommate,Screen Gems,37300000,16000000,91,,2011-02-04,"Drama, Thriller"
