Movie_Title,Budgets
"<a href=""/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary"">The Chronicles of Narnia: The Lion, the Witch a…</a>","$180,000,000"
"<a href=""/movie/Maleficent#tab=summary"">Maleficent</a>","$180,000,000"
"<a href=""/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary"">Fantastic Beasts and Where to Find Them</a>","$180,000,000"
"<a href=""/movie/WALL-E#tab=summary"">WALL-E</a>","$180,000,000"
"<a href=""/movie/Rush-Hour-3#tab=summary"">Rush Hour 3</a>","$180,000,000"
"<a href=""/movie/Legend-of-Tarzan-The#tab=summary"">The Legend of Tarzan</a>","$180,000,000"
"<a href=""/movie/Hugo#tab=summary"">Hugo</a>","$180,000,000"
"<a href=""/movie/Valerian-and-the-City-of-a-Thousand-Planets-(France)#tab=summary"">Valerian and the City of a Thousand Planets</a>","$180,000,000"
"<a href=""/movie/Jupiter-Ascending#tab=summary"">Jupiter Ascending</a>","$179,000,000"
"<a href=""/movie/Mission-Impossible-Fallout#tab=summary"">Mission: ImpossibleâFallout</a>","$178,000,000"
"<a href=""/movie/X-Men-Apocalypse-(2016)#tab=summary"">X-Men: Apocalypse</a>","$178,000,000"
"<a href=""/movie/Meg-The#tab=summary"">The Meg</a>","$178,000,000"
"<a href=""/movie/Edge-of-Tomorrow#tab=summary"">Edge of Tomorrow</a>","$178,000,000"
"<a href=""/movie/Captain-Marvel-(2019)#tab=summary"">Captain Marvel</a>","$175,000,000"
"<a href=""/movie/Jungle-Book-The-(2016)#tab=summary"">The Jungle Book</a>","$175,000,000"
"<a href=""/movie/Inside-Out-(2015)#tab=summary"">Inside Out</a>","$175,000,000"
"<a href=""/movie/Spider-Man-Homecoming#tab=summary"">Spider-Man: Homecoming</a>","$175,000,000"
"<a href=""/movie/Suicide-Squad#tab=summary"">Suicide Squad</a>","$175,000,000"
"<a href=""/movie/Up#tab=summary"">Up</a>","$175,000,000"
"<a href=""/movie/Coco-(2017)#tab=summary"">Coco</a>","$175,000,000"
"<a href=""/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary"">Ralph Breaks The Internet</a>","$175,000,000"
"<a href=""/movie/Monsters-vs-Aliens#tab=summary"">Monsters vs. Aliens</a>","$175,000,000"
"<a href=""/movie/Cars-3#tab=summary"">Cars 3</a>","$175,000,000"
"<a href=""/movie/GI-Joe-The-Rise-of-Cobra#tab=summary"">G.I. Joe: The Rise of Cobra</a>","$175,000,000"
"<a href=""/movie/Wild-Wild-West#tab=summary"">Wild Wild West</a>","$175,000,000"
"<a href=""/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary"">The Mummy: Tomb of the Dragon Emperor</a>","$175,000,000"
"<a href=""/movie/Evan-Almighty#tab=summary"">Evan Almighty</a>","$175,000,000"
"<a href=""/movie/Waterworld#tab=summary"">Waterworld</a>","$175,000,000"
"<a href=""/movie/King-Arthur-Legend-of-the-Sword#tab=summary"">King Arthur: Legend of the Sword</a>","$175,000,000"
"<a href=""/movie/47-Ronin#tab=summary"">47 Ronin</a>","$175,000,000"
"<a href=""/movie/Dolittle#tab=summary"">Dolittle</a>","$175,000,000"
"<a href=""/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary"">Jurassic World: Fallen Kingdom</a>","$170,000,000"
"<a href=""/movie/Guardians-of-the-Galaxy#tab=summary"">Guardians of the Galaxy</a>","$170,000,000"
"<a href=""/movie/Iron-Man-2#tab=summary"">Iron Man 2</a>","$170,000,000"
"<a href=""/movie/Captain-America-The-Winter-Soldier#tab=summary"">Captain America: The Winter Soldier</a>","$170,000,000"
"<a href=""/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary"">Dawn of the Planet of the Apes</a>","$170,000,000"
"<a href=""/movie/Polar-Express-The#tab=summary"">The Polar Express</a>","$170,000,000"
"<a href=""/movie/Snow-White-and-the-Huntsman#tab=summary"">Snow White and the Huntsman</a>","$170,000,000"
"<a href=""/movie/Terminator-3-Rise-of-the-Machines#tab=summary"">Terminator 3: Rise of the Machines</a>","$170,000,000"
"<a href=""/movie/Van-Helsing#tab=summary"">Van Helsing</a>","$170,000,000"
"<a href=""/movie/Dumbo-(2019)#tab=summary"">Dumbo</a>","$170,000,000"
"<a href=""/movie/Godzilla-King-of-the-Monsters-(2019)#tab=summary"">Godzilla: King of the Monsters</a>","$170,000,000"
"<a href=""/movie/Tomorrowland#tab=summary"">Tomorrowland</a>","$170,000,000"
"<a href=""/movie/Alita-Battle-Angel-(2019)#tab=summary"">Alita: Battle Angel</a>","$170,000,000"
"<a href=""/movie/Alice-Through-the-Looking-Glass#tab=summary"">Alice Through the Looking Glass</a>","$170,000,000"
"<a href=""/movie/Shrek-Forever-After#tab=summary"">Shrek Forever After</a>","$165,000,000"
"<a href=""/movie/Doctor-Strange-(2016)#tab=summary"">Doctor Strange</a>","$165,000,000"
"<a href=""/movie/Big-Hero-6#tab=summary"">Big Hero 6</a>","$165,000,000"
"<a href=""/movie/How-to-Train-Your-Dragon#tab=summary"">How to Train Your Dragon</a>","$165,000,000"
"<a href=""/movie/Wreck-It-Ralph#tab=summary"">Wreck-It Ralph</a>","$165,000,000"
"<a href=""/movie/Interstellar#tab=summary"">Interstellar</a>","$165,000,000"
"<a href=""/movie/Independence-Day-Resurgence#tab=summary"">Independence Day: Resurgence</a>","$165,000,000"
"<a href=""/movie/Cowboys-and-Aliens#tab=summary"">Cowboys and Aliens</a>","$163,000,000"
"<a href=""/movie/Beauty-and-the-Beast-(2017)#tab=summary"">Beauty and the Beast</a>","$160,000,000"
"<a href=""/movie/Spider-Man-Far-From-Home-(2019)#tab=summary"">Spider-Man: Far From Home</a>","$160,000,000"
"<a href=""/movie/Aquaman-(2018)#tab=summary"">Aquaman</a>","$160,000,000"
"<a href=""/movie/Shrek-the-Third#tab=summary"">Shrek the Third</a>","$160,000,000"
"<a href=""/movie/Inception#tab=summary"">Inception</a>","$160,000,000"
"<a href=""/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary"">The Hunger Games: Mockingjay - Part 2</a>","$160,000,000"
"<a href=""/movie/Fast-and-Furious-6#tab=summary"">Fast and Furious 6</a>","$160,000,000"
"<a href=""/movie/Godzilla-(2014)#tab=summary"">Godzilla</a>","$160,000,000"
"<a href=""/movie/X-Men-First-Class#tab=summary"">X-Men: First Class</a>","$160,000,000"
"<a href=""/movie/Curious-Case-of-Benjamin-Button-The#tab=summary"">The Curious Case of Benjamin Button</a>","$160,000,000"
"<a href=""/movie/Sorcerers-Apprentice-The#tab=summary"">The Sorcerer's Apprentice</a>","$160,000,000"
"<a href=""/movie/Poseidon#tab=summary"">Poseidon</a>","$160,000,000"
"<a href=""/movie/Warcraft#tab=summary"">Warcraft</a>","$160,000,000"
"<a href=""/movie/Irishman-The-(2019)#tab=summary"">The Irishman</a>","$159,000,000"
"<a href=""/movie/Deepwater-Horizon#tab=summary"">Deepwater Horizon</a>","$156,000,000"
"<a href=""/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary"">The Chronicles of Narnia: The Voyage of the Daw…</a>","$155,000,000"
"<a href=""/movie/Terminator-Genisys#tab=summary"">Terminator: Genisys</a>","$155,000,000"
"<a href=""/movie/Pacific-Rim-Uprising#tab=summary"">Pacific Rim: Uprising</a>","$155,000,000"
"<a href=""/movie/Alexander#tab=summary"">Alexander</a>","$155,000,000"
"<a href=""/movie/War-for-the-Planet-of-the-Apes#tab=summary"">War for the Planet of the Apes</a>","$152,000,000"
"<a href=""/movie/Pearl-Harbor#tab=summary"">Pearl Harbor</a>","$151,500,000"
"<a href=""/movie/Transformers#tab=summary"">Transformers</a>","$151,000,000"
"<a href=""/movie/Frozen-II-(2019)#tab=summary"">Frozen II</a>","$150,000,000"
"<a href=""/movie/Wonder-Woman-(2017)#tab=summary"">Wonder Woman</a>","$150,000,000"
"<a href=""/movie/Frozen-(2013)#tab=summary"">Frozen</a>","$150,000,000"
"<a href=""/movie/Zootopia-(2016)#tab=summary"">Zootopia</a>","$150,000,000"
"<a href=""/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary"">Harry Potter and the Order of the Phoenix</a>","$150,000,000"
